Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.zambia-training.json	3008	-	0	0	0	0	0	0	3	67	0	0	0	0	0	0	0	1	0	0	55	46	0	0	0	2	0	0
fsh-generated/resources/Patient-ImmunisationPatientExample.json	1010	15	0	0	0	1	0	0	0	337	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-immunisation-patient.json	4427	17	0	0	0	0	0	241	0	224	0	0	1	0	0	0	0	2	0	0	461	2545	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-patient-born-in-zambia.json	1615	10	0	0	1	0	0	20	0	25	0	0	0	0	0	0	0	0	0	0	76	145	0	0	0	1	1	0
